AISC_W_Shape,d,bf,tf,tw,hw,rx,ry,Ix,Iy,Zx,Sx,Zy,Sy,A
W36X182,36.3,12.1,1.18,0.725,31.5,14.5,2.55,11300,347,718,623,90.7,57.6,53.6
W36X170,36.2,12,1.1,0.68,31.5,14.5,2.53,10500,320,668,581,83.8,53.2,50
W36X160,36,12,1.02,0.65,31.5,14.4,2.5,9760,295,624,542,77.3,49.1,47
W36X150,35.9,12,0.94,0.625,31.5,14.3,2.47,9040,270,581,504,70.9,45.1,44.3
W36X135,35.6,12,0.79,0.6,31.5,14,2.38,7800,225,509,439,59.7,37.7,39.9
W33X152,33.5,11.6,1.06,0.635,28.875,13.5,2.47,8160,273,559,487,73.9,47.2,44.9
W33X141,33.3,11.5,0.96,0.605,28.875,13.4,2.43,7450,246,514,448,66.9,42.7,41.5
W33X130,33.1,11.5,0.855,0.58,28.875,13.2,2.39,6710,218,467,406,59.5,37.9,38.3
W33X118,32.9,11.5,0.74,0.55,28.875,13,2.32,5900,187,415,359,51.3,32.6,34.7
W30X191,30.7,15,1.19,0.71,25.75,12.8,3.46,9200,673,675,600,138,89.5,56.1
W30X173,30.4,15,1.07,0.655,25.75,12.7,3.42,8230,598,607,541,123,79.8,50.9
W30X148,30.7,10.5,1.18,0.65,25.75,12.4,2.28,6680,227,500,436,68,43.3,43.6
W30X132,30.3,10.5,1,0.615,25.75,12.2,2.25,5770,196,437,380,58.4,37.2,38.8
W30X124,30.2,10.5,0.93,0.585,25.75,12.1,2.23,5360,181,408,355,54,34.4,36.5
W30X116,30,10.5,0.85,0.565,25.75,12,2.19,4930,164,378,329,49.2,31.3,34.2
W30X108,29.8,10.5,0.76,0.545,25.75,11.9,2.15,4470,146,346,299,43.9,27.9,31.7
W30X99,29.7,10.5,0.67,0.52,25.75,11.7,2.1,3990,128,312,269,38.6,24.5,29
W30X90,29.5,10.4,0.61,0.47,25.75,11.7,2.09,3610,115,283,245,34.7,22.1,26.3
W27X178,27.8,14.1,1.19,0.725,23,11.6,3.25,7020,555,570,505,122,78.8,52.5
W27X161,27.6,14,1.08,0.66,23,11.5,3.23,6310,497,515,458,109,70.9,47.6
W27X146,27.4,14,0.975,0.605,23,11.5,3.2,5660,443,464,414,97.7,63.5,43.2
W27X129,27.6,10,1.1,0.61,23,11.2,2.21,4760,184,395,345,57.6,36.8,37.8
W27X114,27.3,10.1,0.93,0.57,23,11,2.18,4080,159,343,299,49.3,31.5,33.6
W27X102,27.1,10,0.83,0.515,23,11,2.15,3620,139,305,267,43.4,27.8,30
W27X94,26.9,10,0.745,0.49,23,10.9,2.12,3270,124,278,243,38.8,24.8,27.6
W27X84,26.7,10,0.64,0.46,23,10.7,2.07,2850,106,244,213,33.2,21.2,24.7
W24X146,24.7,12.9,1.09,0.65,20,10.3,3.01,4580,391,418,371,93.2,60.5,43
